filename,id,matched_label,Turku_NLP,Turku_NLP_sub
ed.db,110ae9e775485f536c4f1cdea087cbd7,ID,IP ; ID,ed ; -
ed.db,9afaecf7d64a78e22fa71dec39be048b,SP,IP ; SP ; NA,ed ; os ; on
ed.db,b448bc630d8d121c42826b657926ffcd,ID,IP ; ID,ed ; -
ed.db,008e815a2729837de664ef62a8a307ce,SP,SP,os
ed_2.db,a4081cf02ab9f546bf81779632dee25e,ID,OP ; ID,ob ; -
ed_2.db,87a0fd7d02da869e7f13609b6451a365,ID,IP ; ID ; OP,ed ; - ; oo
ed_2.db,801e82bc9ac9286cec876f3f6a734ae9,ID,OP ; ID,ob ; -
ed_2.db,b1afe0fb6714accb7c940deacdcfb1ac,ID,OP ; ID,ob ; -
ed_2.db,8650bfe12f6d1b8068b23b4fae9205a6,ID,IP ; ID,ed ; -
ed_2.db,438262fa1117f86ef8fd91a97b52f660,ID,NA ; LY ; ID,ne ; - ; -
ed_2.db,3ddaa704268fa4a28cd157931fb2f6a1,SP,SP,os
ed_2.db,5e63fb670b1bbc7db90050bf86818253,SP,SP,os
ed_2.db,691bca7238662fc9cba1f4a68f842e83,ID,IP ; ID,ed ; -
ed_2.db,1b36b1734687a0024609ef17ee4ebc1a,ID,OP ; ID,ob ; -
ed_2.db,b3775da0af7ea73967f269ecce7bc15e,ID,IP ; ID,ed ; -
ed_2.db,28f05e6d40b6fe05bf6956a750c8288c,ID,IP ; ID,ed ; -
ed_2.db,d19fb4ee760ff0f178d17b0479707b46,ID,IP ; ID,ed ; -
en_5.db,4460051aab829be12ada68f23fa42a00,ID,IN ; NA ; ID,en ; ne ; -
en_9.db,e138f6f9106dfe2bd5deac20754e2af1,ID,IN ; ID,en ; -
fi.db,fd298a05ac2b9a246f6a28dbca2e89ab,ID,IN ; IN ; IN ; ID,fi ; dtp ; oi ; -
fi.db,4d64a3f8de484bc2b51af97e7617b4ce,ID,IN ; OP ; IN ; ID,fi ; av ; oi ; -
fi.db,75b50ac030db115e972957f7965bb9e7,ID,IN ; IN ; IN ; ID,fi ; dtp ; oi ; -
fi.db,84b4bb67f90ef5bec78cc0fb3618877f,SP,IN ; SP,fi ; it
fi.db,d93b4c5556c848cb9f7257efe9b87219,ID,IN ; IN ; ID,fi ; dtp ; -
fi.db,59552e1f1ebdfa82c893739f69804331,SP,SP,it
fi.db,2fd3a6695d39b53fe85742715795d28e,ID,IN ; ID,fi ; -
fi.db,bc8c54632bf32ce4bdcab9abbe14f0b6,ID,IN ; IN ; ID,lt ; oi ; -
fi.db,77a1751d1c54127d11fc67b5eb8c07bc,ID,IN ; IN ; ID,fi ; oi ; -
fi.db,88554ac4848e030de2128478b2490061,ID,IN ; ID,fi ; -
fi.db,28b650bfcb46b54028031ceaa0cb7748,ID,IN ; ID,fi ; -
fi.db,aa170755b938f277af218f3ef9189324,ID,HI ; ID,oh ; -
fi.db,71e54ae1863873fdff2521d9a0e4a998,ID,IN ; IN ; OP ; ID,fi ; dtp ; av ; -
fi.db,e5cc3c77a6ef7a467629ead889e192aa,ID,IN ; IN ; ID,fi ; oi ; -
fi.db,50f78c776fc1b201443f92c00dd054ec,ID,IN ; IN ; ID,fi ; oi ; -
fi.db,6a0742bca64a41b2d647f1f796c2dfd2,ID,IN ; ID,fi ; -
fi.db,db8bb62cdf7315dfc68aa1f36285fecd,ID,IN ; ID,fi ; -
fi.db,8deaf4e97c2a0c2046d0ca92972bf0fc,ID,ID ; NA ; IN,- ; nb ; oi
fi.db,221665a44c1bee6ef082897a20b8317e,ID,IN ; IN ; HI ; ID,fi ; oi ; oh ; -
fi.db,64fb6834bd54999cbc62770860de12c4,ID,IN ; IN ; ID,fi ; oi ; -
fi.db,416e35d6d01b25129727189f2651a92c,ID,IN ; IN ; ID,fi ; dtp ; -
fi.db,a805488608f898a8bbb1279a3192c4a6,ID,IN ; IP ; ID,fi ; ds ; -
fi.db,ad8f780465bd0b26a50b324cd6796bcc,ID,IN ; OP ; ID ; IP,fi ; rv ; - ; ds
HI_2_clean_dedup.db,76efafc8d6c05a00b6d6d1e8aa871652,ID,IP ; HI ; ID,ds ; oh ; -
HI_2_clean_dedup.db,693d6f28524c6c65f5bf4c8bdc02b011,ID,HI ; ID,oh ; -
HI_2_clean_dedup.db,7cb185740c3d6b499531157089dd5993,ID,ID,-
HI_2_clean_dedup.db,90978fbd75518e5dafddd31a0dc9b79d,ID,IN ; HI ; ID,dtp ; oh ; -
HI_2_clean_dedup.db,4ff44315a90b4c091d1716143dc9a553,ID,IN ; HI ; ID,fi ; oh ; -
HI_2_clean_dedup.db,dc9a7bf5ac4d0b801d415818114b302d,ID,HI ; ID,oh ; -
HI_2_clean_dedup.db,ae7366e355956551f2fe4246e3bf2b2c,ID,HI ; ID,oh ; -
HI_2_clean_dedup.db,e198ba1c077213f04553e6e6f1da5d96,ID,IP ; HI ; ID,oe ; oh ; -
HI_2_clean_dedup.db,ec64cb4634ad48717f53f4c59e98d812,ID,IP ; HI ; ID,oe ; oh ; -
HI_2_clean_dedup.db,c29a6dc3364093922e244bdd53f892d2,ID,IP ; IN ; ID,ds ; dtp ; -
HI_2_clean_dedup.db,96a52c7a12c984c75decf22cef26ad45,ID,OP ; ID,av ; -
